z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15,z16,genre,track_name,track_artist
1.0711626,0.4010957,-0.7754161,-2.0033789,-0.17784145,0.061814524,-0.49605274,-1.141922,-1.4486938,-1.6669446,-0.6996886,-0.015730746,0.31011802,-0.499569,-0.077505425,0.03301784,rap,SUPREME - L'ego (feat. tha Supreme & Sfera Ebbasta),Marracash
1.1468436,0.6828743,-0.22604202,-0.19076088,1.0407251,-0.2746088,-1.8636581,-2.1529324,-0.62194216,-0.80061805,0.67196,-0.6491381,-1.212663,-1.3608763,-1.0230504,-1.2036513,rock,Rattle Your Cage,Skrizzly Adams
1.3654352,-0.26534832,-0.47911566,-1.0404383,1.1881249,1.0257732,0.38355017,-1.1368831,-1.5705888,-1.8881904,0.5795907,0.021948632,0.62174517,-0.70839244,-0.53911096,1.6466388,latin,Cheerleader - Felix Jaehn Remix Radio Edit,OMI
0.40323576,-1.2950929,-0.5005517,-1.4561045,1.6042649,1.2656837,0.7266292,-1.1846821,-1.2100024,-2.3819242,1.1769028,-0.8373322,-0.7756787,-1.0415237,-0.58522266,0.8826546,rock,Why Don't You Get A Job,The Offspring
1.0336236,-0.6527681,0.16659534,-2.076059,0.9741812,-0.14891528,0.100272655,-1.5882012,-0.79849017,-1.6574126,-0.24409455,-0.49043733,-1.1059866,-0.3766362,-0.4742718,-0.08099006,pop,On the Back of Your Neck,Cienfue
1.5056652,0.9283252,0.5734516,0.9002921,1.1769782,2.0315855,-0.7795987,-1.3306835,-2.3113706,-0.34378526,-0.025665969,0.6668666,-0.15912324,0.09588143,-1.2011547,-0.38588867,rap,WhatWasThat,BONES
0.19265112,0.6295949,-0.96585995,0.41487947,0.1987853,-0.1472881,-2.7652721,-1.0142086,-1.7852774,0.2872198,-0.13932711,-0.8175727,-0.8335463,-1.47681,-0.72494817,-1.1386695,r&b,Heartless (feat. Mustard),Polo G
0.6690888,1.2159705,-0.74776876,-0.08157471,1.0275667,0.64668834,-4.954306,-1.0143694,-3.5249562,-1.4634218,0.23809716,-2.0463974,-1.6800686,-4.2571454,-3.8766952,-3.3255332,rap,Say My Name,Lil Yachty
1.2859979,0.3076068,0.9194901,-1.1081764,0.23767212,-0.39208162,-0.44072813,-1.6857225,-0.76771474,-0.37913558,-1.1762053,0.5350905,-0.969545,0.22353584,-0.56163937,-0.051665384,rock,Paint My Love - 2014 Remastered Version,Michael Learns To Rock
0.65534776,-0.37479612,0.5483975,0.6876352,0.9316308,2.35542,-1.2480745,-0.86209255,-3.170484,-0.277834,-0.08554068,0.1381874,-0.5072066,0.18163136,-1.0059471,-0.43391433,rap,Hi Life,UGK
1.9192731,0.19260266,0.22227849,-2.254235,0.5722062,-0.4512249,-0.28731847,-2.8782206,-1.3302091,-1.4247966,-0.5771814,-0.27095133,-1.2707715,0.47834736,-0.5344581,-0.20536391,pop,This Is Our Time,WILD
0.25611985,0.3515037,0.8380282,0.93224347,1.1213741,2.1446126,-2.855949,0.37598756,-2.363753,-0.74059767,-0.5147669,-0.81913584,-0.35241967,-1.5565293,-3.2116795,-2.1348546,pop,It Runs Through Me,Tom Misch
1.2408502,0.3241298,-0.33770508,-1.1578678,0.75448406,0.36383885,0.12824525,-1.6968874,-1.5784359,-1.4340649,0.3808499,-0.06202238,-0.32146117,-0.19820607,-0.538179,0.37613878,edm,Nothing Really Matters - Afrojack Remix,Mr. Probz
2.0986423,0.75803643,1.5452199,-0.94122714,-0.2968007,-0.4224654,-1.0095828,-1.8854773,-1.3953623,0.41807446,-1.9929146,1.2636,-0.751204,1.557688,-1.0548382,-0.29894868,rock,Who Are You,The Who
1.5716271,0.74843824,2.606902,1.6474335,2.0989184,3.6988745,-0.31853235,-0.02524646,-2.536242,-0.61269546,-0.1914874,1.1279653,0.3440334,0.5007052,-2.8341465,-0.27735302,rock,I Want You To Want Me,Cheap Trick
0.92613304,-0.11574225,-0.374808,-0.54643685,0.6891624,1.4857103,0.54005927,-0.468405,-1.709928,-1.7334977,0.2506962,0.16551678,0.90412277,0.075763956,-0.3637705,1.6786863,rock,I Heard It Through The Grapevine - Single Version,Creedence Clearwater Revival
3.3518858,2.1555202,3.7394023,1.181807,0.9667094,2.9064279,-1.2024026,-2.0223436,-2.841661,0.5563863,-1.4378852,2.2406003,-0.34860492,1.9958084,-3.0330772,-1.1320441,r&b,Without You - Remastered,Harry Nilsson
0.2797393,-0.88967127,-0.8668584,-1.5032905,1.2776271,0.6953739,-0.33531392,-1.2120509,-0.8417911,-1.8036553,1.1160455,-1.3187538,-1.168845,-1.1611168,-0.012658026,-0.0013897829,rap,Raise Up,Petey Pablo
2.6885614,2.0940137,5.242551,3.5215898,1.284786,3.6957924,-2.4273887,-1.3870444,-2.6503186,2.1017663,-1.5518279,1.8883647,-1.0429592,1.7297423,-3.6541393,-3.823084,rap,Compound,Trellion
0.101615496,-1.2023177,-1.2317952,-1.9452064,1.2674432,1.3156525,-0.27234724,-0.14289239,-1.0165836,-2.6223621,0.74103236,-1.1482544,-0.20362145,-1.3417835,-0.48664442,1.0473975,pop,Get the Party Started,P!nk
1.0392925,-0.027386554,0.8327393,-0.00446102,1.4251137,1.4672581,0.173115,-1.0749954,-1.2293744,-1.5932795,0.61916065,-0.18326463,-0.80381644,-0.7054122,-1.4109447,-0.63027424,edm,Stray Lines,Mishaal
2.500098,3.0424263,4.436586,1.9736521,0.035656817,2.8014328,-3.4564023,-0.5543277,-1.071048,2.4413803,-1.4898671,1.7428564,-0.028252587,0.4191513,-3.2013109,-3.1504483,r&b,Paloma Negra,Chavela Vargas
0.31841695,0.017607704,-0.72829217,0.027453315,1.1069362,0.8118725,-3.002833,-1.026128,-1.5650003,-1.5759593,0.60302293,-2.126476,-1.3185076,-2.4588423,-2.265329,-2.504178,pop,On Fire,Carmada
0.63176847,-0.44027364,-0.035344973,-1.8553325,0.4647172,1.2106432,-0.42943472,0.005295992,-0.2030405,-1.8722608,0.66685694,-0.46130103,0.16338232,-1.9224305,-0.85761476,0.06977996,latin,Tequila,Juanes
0.20031303,-0.67680115,-0.5714497,-2.4636152,-0.21801475,1.8274416,-0.75614303,0.71401703,-1.1349146,-1.9824264,-0.3387069,0.20650801,1.424752,-1.164094,-0.2305622,1.5543623,latin,Ella Se Fue,Kinto Sol
0.7806279,0.26279113,1.0258749,0.69793063,1.2077214,2.678579,-0.3516447,0.3442608,-2.2114162,-1.2417893,-0.20453793,0.38957453,0.99592984,0.049635008,-1.8860688,0.10305096,rock,Who Needs You - Remastered 2011,Queen
0.25171518,-0.09614598,-1.0760792,-1.42087,0.90072525,0.8552835,-1.929003,-0.5401512,-1.3006173,-1.9309728,0.08939067,-0.8973412,-0.37333295,-1.6754258,-0.9562194,-0.07629903,pop,7/11,Beyoncé
1.0810996,-0.8948437,-0.3252296,-1.7118326,1.2933183,-0.16019097,1.4663812,-2.3667502,-0.34761554,-2.4816015,0.7816633,-0.86755246,-1.1715378,-0.31012583,0.016715359,0.42563012,rock,Getting Away With Murder,Papa Roach
2.4359922,-1.3015375,1.0449603,-3.9484003,-1.0326152,-1.3048717,-0.8028604,-4.430239,-0.4252522,0.54874384,-2.8153138,0.79517186,-2.025605,3.3524115,1.7074574,0.661833,edm,Smile - Years Remix,Galantis
0.19862762,0.51272553,-0.87399817,-0.283558,1.1249639,0.93103814,-3.721521,-1.1729656,-3.505937,-0.80527836,0.53752047,-1.807224,-1.9313027,-2.817768,-1.5933787,-1.919552,pop,My Nigga,YG
1.5539902,0.043267146,-1.184718,-1.2282976,1.7093039,1.0210671,0.29997548,-1.6467661,-2.285193,-3.3973835,1.5895693,-1.1683911,-0.17223927,-1.0088848,-0.9967137,0.6467144,edm,Don't Look Down (feat. Blake Young),CASS
1.2825199,-2.072822,0.62440556,-5.2473917,-0.17907947,-1.2469443,-1.4155686,-3.467735,-0.13329265,-0.34311125,-2.464035,-0.04979547,-3.2696145,1.2843535,0.8867906,0.20457922,edm,Unity,Dimitri Vegas & Like Mike
1.7078621,1.5342242,1.5648876,1.6158024,1.1013235,2.0077667,-1.0889652,-0.63547593,-1.6750659,-0.22074607,-0.02672599,0.4015525,0.0013748556,-0.35838038,-2.2588522,-1.7354498,pop,pete davidson,Ariana Grande
0.43603593,-0.48848772,-1.1391344,-1.2692188,1.2258306,1.2511226,-0.061198387,-0.89279944,-1.8381165,-2.619,1.1254942,-0.8769274,-0.8179653,-1.748563,-1.1301281,0.33940008,edm,This Is How We Party (with Icona Pop),R3HAB
