tsne_1,tsne_2,genre,cluster
-27.210064,-67.80205,rock,5
-41.835182,35.592903,rock,1
-54.17089,-58.45379,edm,5
3.02225,65.06477,pop,1
-24.857088,-63.62322,rock,5
86.63088,-17.925823,pop,4
-50.48565,-61.48743,pop,5
-77.67493,14.600186,edm,3
12.588446,75.60602,pop,2
-26.8469,-17.829231,pop,5
62.635624,43.61962,r&b,2
25.615526,2.7731373,r&b,4
-29.967957,-65.82253,latin,5
19.657843,50.209335,rock,2
92.8803,-1.4606532,pop,0
3.8134847,-11.565012,r&b,5
-52.417217,43.071297,pop,1
-7.0679865,-28.115974,rock,5
-1.9347856,-40.29624,rock,5
59.83122,-43.231087,latin,4
11.94497,78.09544,rap,2
-17.884823,-54.69023,latin,5
-47.675243,-44.695904,pop,5
-38.441006,-8.238379,pop,1
-75.96792,43.39439,pop,3
97.11691,-5.15821,r&b,4
73.308266,3.4653955,r&b,0
-34.23323,59.912064,rock,1
31.76649,52.847782,pop,2
-30.669613,58.49294,rap,1
6.996493,3.5356536,r&b,5
-35.112766,-6.6588726,pop,1
-45.039173,-39.72765,pop,5
-46.933323,-7.035996,pop,5
-16.494898,-11.5019,rap,5
-78.593796,36.89135,edm,3
42.571995,-49.79817,rap,5
-2.1358237,61.27925,rock,3
-29.048946,38.60194,edm,1
23.559505,-20.75527,r&b,4
45.599342,-82.72442,latin,5
-28.891289,-56.576057,pop,5
-45.26493,-55.87502,r&b,5
-28.915031,45.195507,rap,1
88.74353,-0.6459474,rap,0
44.376495,26.744917,latin,4
0.850471,-29.669765,latin,4
-46.426537,-67.47305,pop,5
-31.39265,51.657948,r&b,1
69.450485,27.387882,rap,1
-57.25501,44.47687,edm,1
73.65422,-38.0827,rap,4
-40.984673,-31.89518,latin,5
-38.085278,-50.086266,latin,5
46.221222,30.364283,latin,2
-57.84848,63.515743,rock,3
-26.794409,45.979237,edm,1
44.732174,-11.55521,latin,1
-66.54548,40.86379,rock,3
44.930126,24.489292,rap,4
12.232397,69.60693,r&b,2
14.725409,-69.43471,rap,5
74.60896,-13.461305,rap,0
0.04585432,79.308235,edm,3
24.112617,-17.166805,r&b,4
47.038784,-60.25426,latin,4
50.616257,-76.500465,latin,4
15.186196,-81.42047,pop,5
-52.568233,-62.937622,pop,5
-11.409008,25.37274,edm,1
14.5148,72.87694,r&b,2
5.7550097,-3.5536895,rock,5
-63.47246,57.095303,pop,3
-2.4618373,81.67612,rock,3
-14.443858,-15.708039,pop,4
-36.55276,-20.204283,pop,5
-16.626244,27.720005,latin,1
86.638016,13.175699,rap,0
42.875374,-17.534815,latin,1
-45.207844,5.0716515,edm,1
-60.98842,16.91171,rock,1
67.501976,-12.93239,rap,0
-61.84359,-41.656128,pop,5
14.589944,-72.921684,latin,1
24.409466,-18.984327,r&b,4
-3.6179094,-0.62793356,latin,5
-50.270424,28.957066,pop,1
-72.352135,12.489157,rock,1
-24.745823,3.4132628,rock,5
-59.183628,-22.917269,rock,5
-77.24507,-27.034718,pop,5
-20.737024,-41.100765,pop,5
25.527544,-4.758021,edm,4
-68.59895,0.3882491,rock,1
14.041133,-43.610752,edm,4
-40.601097,54.346794,rock,1
-6.091603,31.990755,pop,1
-67.32061,14.249484,edm,1
96.28474,-2.2192192,pop,0
-17.178787,-65.190025,r&b,5
49.62328,11.317558,rap,4
15.99414,81.61971,rock,2
-48.30195,-1.508224,pop,5
11.366238,2.9742763,pop,5
-19.886436,-11.324665,edm,4
1.4531357,-4.7935,pop,5
-29.064468,-31.586485,pop,5
43.166325,69.11113,latin,2
-72.458885,-29.982662,pop,5
78.08131,-6.8925343,rap,0
-36.335434,-52.634544,pop,5
22.185493,-86.62541,latin,5
-68.13211,69.22278,rap,3
-39.858932,9.559532,edm,1
26.61134,21.260391,r&b,2
28.157543,-73.14083,latin,5
7.417585,32.662697,pop,2
62.666187,-38.089817,rap,4
14.890611,-26.655785,r&b,5
49.412075,10.96275,rap,4
42.004967,52.248795,latin,2
53.610687,22.190763,rap,0
26.781431,17.629017,r&b,2
22.882376,36.484142,r&b,2
27.714397,-70.89574,latin,5
80.63291,1.5080562,rap,0
72.44737,27.846521,r&b,0
-70.260254,-40.043728,edm,5
-47.704,27.769768,pop,1
32.39724,-80.38917,latin,5
-23.030806,48.863716,r&b,1
-2.6515288,-44.70651,edm,4
